"","block","number","street","floor","price","address","urls"
"1",3,304,"Atlantic","B",3500,"304 Atlantic Avenue, B 2nd","http://www.bergerrealty.com/rental/1502.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"2",4,401,"34th","Unit",3500,"401 34th Street, Unit B, 2nd","http://www.bergerrealty.com/rental/409d.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"3",4,401,"34th","E",3500,"401 34th Street, E","http://www.bergerrealty.com/rental/434e.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"4",4,410,"Atlantic","top",3500,"410 Atlantic Avenue, top","http://www.bergerrealty.com/rental/410.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"5",5,500,"15th","1st",3900,"500 15th Street, 1st Floor","http://www.bergerrealty.com/rental/300c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"6",5,511,"18th","2nd",3600,"511 18th Street, 2nd","http://www.bergerrealty.com/rental/976c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"7",6,621,"Ocean","2nd",3200,"621 Ocean Avenue, 2nd Floor","http://www.bergerrealty.com/rental/621c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"8",7,709,"Moorlyn","1st",3500,"709 Moorlyn Terrace, 1st","http://www.bergerrealty.com/rental/709e.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"9",8,809,"5th","1st",3410,"809 5th Street, 1st","http://www.bergerrealty.com/rental/809c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"10",8,809,"3rd","West",3800,"809 3rd Street, West Side","http://www.bergerrealty.com/rental/729a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"11",8,834,"6th","2nd",4100,"834 6th Street, 2nd","http://www.bergerrealty.com/rental/643d.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"12",8,836,"St.","Place,",3200,"836 St. Charles Place, 1st","http://www.bergerrealty.com/rental/836d.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"13",8,841,"Third","1st",3000,"841 Third Street, 1st","http://www.bergerrealty.com/rental/687b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"14",8,848,"7th","Townhouse",4100,"848 7th Street, Townhouse","http://www.bergerrealty.com/rental/1066c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"15",8,852,"7th","Townhouse",3400,"852 7th Street, Townhouse","http://www.bergerrealty.com/rental/852c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"16",8,856,"7th","Townhouse",3325,"856 7th Street, Townhouse","http://www.bergerrealty.com/rental/852d.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"17",8,868,"North","2nd",3125,"868 North Street, 2nd","http://www.bergerrealty.com/rental/1468c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"18",9,916,"Pennlyn","#13",3895,"916 Pennlyn Place, #13","http://www.bergerrealty.com/rental/698a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"19",9,917,"3rd","1st",4300,"917 3rd St, 1st Floor","http://www.bergerrealty.com/rental/1020b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"20",9,922,"Ocean","1st",3500,"922 Ocean Ave., 1st Floor","http://www.bergerrealty.com/rental/22a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"21",9,922,"Ocean","2nd",3750,"922 Ocean Avenue, 2nd Floor","http://www.bergerrealty.com/rental/922f.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"22",9,925,"2nd","1st",3700,"925 2nd Street, 1st","http://www.bergerrealty.com/rental/952a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"23",9,928,"Central","1st",3000,"928 Central Avenue, 1st Flr","http://www.bergerrealty.com/rental/306c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"24",10,1033,"Wesley","1st",3695,"1033 Wesley Avenue, 1st Floor","http://www.bergerrealty.com/rental/1375a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"25",10,1034,"Central","2nd",3300,"1034 Central Avenue, 2nd Floor","http://www.bergerrealty.com/rental/103c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"26",10,1035,"Asbury","2nd",3000,"1035 Asbury Avenue, 2nd Floor","http://www.bergerrealty.com/rental/135c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"27",10,1038,"Asbury","C/3rd",3095,"1038 Asbury Avenue, C/3rd","http://www.bergerrealty.com/rental/1308e.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"28",11,1111,"Central","2nd",3200,"1111 Central Avenue, 2nd","http://www.bergerrealty.com/rental/1111a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"29",11,1128,"Wesley","1st",3500,"1128 Wesley Avenue, 1st Floor","http://www.bergerrealty.com/rental/1168c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"30",11,1134,"Central","1st",3600,"1134 Central Avenue, 1st floor","http://www.bergerrealty.com/rental/1345b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"31",11,1135,"Central","2nd",3775,"1135 Central Avenue, 2nd","http://www.bergerrealty.com/rental/1135a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"32",11,1145,"Central","Ground",3500,"1145 Central Avenue, Ground Floor","http://www.bergerrealty.com/rental/1145b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"33",12,1205,"Central","1st",3600,"1205 Central Ave, 1st","http://www.bergerrealty.com/rental/1205.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"34",12,1209,"Central","1st",3300,"1209 Central Ave, 1st","http://www.bergerrealty.com/rental/1209d.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"35",12,1209,"Wesley","2nd",3495,"1209 Wesley Avenue, 2nd","http://www.bergerrealty.com/rental/1209a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"36",12,1211,"Central","2nd",3200,"1211 Central Ave., 2nd","http://www.bergerrealty.com/rental/1211.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"37",12,1212,"Central","2nd",3400,"1212 Central Avenue, 2nd","http://www.bergerrealty.com/rental/1287a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"38",12,1231,"Central","2nd",3600,"1231 Central Avenue, 2nd","http://www.bergerrealty.com/rental/1231a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"39",12,1236,"Central","1st",4000,"1236 Central Avenue, 1st floor","http://www.bergerrealty.com/rental/1234.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"40",13,1317,"Central","1st",4000,"1317 Central Avenue, 1st Floor","http://www.bergerrealty.com/rental/1319a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"41",13,1321,"Wesley","1st",4000,"1321 Wesley Ave., 1st","http://www.bergerrealty.com/rental/1321b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"42",13,1323,"Wesley","A-1st",4200,"1323 Wesley Avenue, A-1st","http://www.bergerrealty.com/rental/132d.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"43",13,1324,"Central","1st",3895,"1324 Central Ave., 1st","http://www.bergerrealty.com/rental/1324b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"44",14,1401,"Asbury","West",3350,"1401 Asbury Avenue, West Side","http://www.bergerrealty.com/rental/1255.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"45",14,1402,"Central","2nd",3350,"1402 Central Ave., 2nd Floor","http://www.bergerrealty.com/rental/172c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"46",14,1406,"Ocean","2nd",3695,"1406 Ocean Avenue, 2nd Floor","http://www.bergerrealty.com/rental/900b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"47",14,1413,"Central","1st",3300,"1413 Central Avenue, 1st Floor","http://www.bergerrealty.com/rental/14c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"48",14,1418,"Central","2nd",3500,"1418 Central Ave, 2nd Floor","http://www.bergerrealty.com/rental/1256c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"49",15,1513,"Central","1st",3800,"1513 Central Avenue, 1st floor","http://www.bergerrealty.com/rental/1155.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"50",15,1513,"Asbury","1st",3800,"1513 Asbury Ave., 1st","http://www.bergerrealty.com/rental/151b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"51",15,1515,"Asbury","2nd",3500,"1515 Asbury Avenue, 2nd Floor","http://www.bergerrealty.com/rental/1049c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"52",15,1515,"Central","2nd",3975,"1515 Central Avenue, 2nd","http://www.bergerrealty.com/rental/1415a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"53",15,1521,"Central","1st",3600,"1521 Central Avenue, 1st","http://www.bergerrealty.com/rental/152d.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"54",15,1539,"Central","2nd",4200,"1539 Central Avenue, 2nd","http://www.bergerrealty.com/rental/1380a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"55",16,1622,"Wesley","2nd",3200,"1622 Wesley Avenue, 2nd Floor","http://www.bergerrealty.com/rental/162e.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"56",16,1627,"Central","2nd",3000,"1627 Central Ave., 2nd Flr.","http://www.bergerrealty.com/rental/444b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"57",16,1628,"Wesley","2nd",4200,"1628 Wesley Ave., 2nd","http://www.bergerrealty.com/rental/1457a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=4001&maxprice=4401&sortby=1&limit=100"
"58",16,1630,"Central","1st",3600,"1630 Central Avenue, 1st","http://www.bergerrealty.com/rental/630c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"59",17,1706,"Central","2nd",3300,"1706 Central Ave., 2nd Flr.","http://www.bergerrealty.com/rental/1288.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"60",17,1717,"Central","1st",3700,"1717 Central Ave., 1st Floor","http://www.bergerrealty.com/rental/717.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"61",17,1720,"Wesley","1st",3800,"1720 Wesley Avenue, 1st floor","http://www.bergerrealty.com/rental/629.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"62",18,1808,"Wesley","1st",3800,"1808 Wesley Avenue, 1st","http://www.bergerrealty.com/rental/808d.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"63",18,1811,"Central","2nd",3500,"1811 Central Avenue, 2nd","http://www.bergerrealty.com/rental/1376a.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=2999&maxprice=3501&sortby=1&limit=100"
"64",18,1814,"Wesley","2nd",3800,"1814 Wesley Avenue, 2nd","http://www.bergerrealty.com/rental/981c.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
"65",18,1816,"Wesley","2nd",4000,"1816 Wesley Ave., 2nd Floor","http://www.bergerrealty.com/rental/1231b.html?year=2017&beds=7&bath=4&week=30&nweek=1&minprice=3501&maxprice=4001&sortby=1&limit=100"
